ID,medicine_name,salt_composition,product_price,manufacturer_name,medicine_desc,side_effects,drug_interactions,Is_discontinued,type,short_composition1,short_composition2,pack_size_label
23759,Ticarnic  3.1 Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹630.7,United Biotech Pvt Ltd,"Ticarnic  3.1 Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticarnic  3.1 Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23760,Clatiplus 3000mg/100mg Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹772.65,Fusion Healthcare Pvt Ltd,"Clatiplus 3000mg/100mg Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Clatiplus 3000mg/100mg Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 ml Injection
23761,Timentin 3.1 Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹711.66,Glaxo SmithKline Pharmaceuticals Ltd,"Timentin 3.1 Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Timentin 3.1 Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23762,Ticarset 3000mg/100mg Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹833,Alniche Life Sciences Pvt Ltd,"Ticarset 3000mg/100mg Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticarset 3000mg/100mg Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23763,Ticarnate 3.1gm Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹849.15,Chandra Bhagat Pharma Pvt Ltd,"Ticarnate 3.1gm Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticarnate 3.1gm Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23764,Timcyn 3000 mg/100 mg Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹542.26,Emcure Pharmaceuticals Ltd,"Timcyn 3000 mg/100 mg Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Timcyn 3000 mg/100 mg Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23765,Ticar C 3000mg/100mg Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹1100.75,Medilife Health Sciences Pvt Ltd,"Ticar C 3000mg/100mg Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticar C 3000mg/100mg Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23766,Ticarnip 3000mg/1000mg Injection,Ticarcillin (3000mg) + Clavulanic Acid (1000mg),₹807.5,Nova Indus Pharmaceuticals,"Ticarnip 3000mg/1000mg Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticarnip 3000mg/1000mg Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (1000mg),vial of 1 Injection
23767,Yestic 3.1g Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹752.8,H & I Critical Care,"Yestic 3.1g Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Yestic 3.1g Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
23768,Ticalclav 3000mg/100mg Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹845.75,Supermax Laboratories,"Ticalclav 3000mg/100mg Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticalclav 3000mg/100mg Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Powder for Injection
23769,Ticarvib Injection,Ticarcillin (3000mg) + Clavulanic Acid (100mg),₹637.5,Vibcare Pharma Pvt Ltd,"Ticarvib Injection is a combination of two medicines used to treat various types of bacterial infections such as urinary tract infections, bone and joint infections, stomach infections and skin infections. It fights against the infection by killing the causative microorganisms.Ticarvib Injection is generally administered by a healthcare professional and should not be self-administered. Depending on the severity of your underlying illness, your doctor will decide the precise dose and schedule as per which this injection is to be given. It is strictly advised to be used as per the doctor’s prescription.Common side effects of this medicine include nausea, vomiting, diarrhea, and rash. Additionally, you may notice some injection site reactions like pain, swelling, or redness. Consult your doctor if these do not get better or persist for a longer duration of time.Before using the medicine, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. Your doctor may change the dose or prescribe a different medicine. This medicine is generally safe to use during pregnancy and breastfeeding if used under a doctor’s supervision.","Nausea,Vomiting,Diarrhea,Rash,Allergic reaction","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Ticarcillin (3000mg) , Clavulanic Acid (100mg),vial of 1 Injection
47816,Biomycetin Ear Drop,Chloramphenicol (5% w/v),₹26.99,Juggat Pharma,"Biomycetin Ear Drop is an antibiotic that fights bacteria. It is instilled in the ear to treat infections of the ear caused by bacteria. It works by killing the bacteria that cause these problems.Biomycetin Ear Drop helps to improve your symptoms and cure the underlying infection. Follow your doctor’s instructions precisely for administering this medicine in the ear. Wait for at least 5 minutes before applying any other medication to the same ear. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.It is active against many types of bacteria. However, it will not work for other types of ear infections (e.g. viral) and therefore, should only be used if prescribed by your doctor. Unnecessary use of this antibiotic can lead to unpleasant side effects and a decrease in its effectiveness in the future.The most common side effect seen after administration is temporary ear discomfort. Inform your doctor if this persists or if your condition worsens. Pregnant and breastfeeding mothers should consult their doctor before using it. This medicine should not be used for longer than one week.",Ear discomfort,"{""drug"": [""Methylcobalamin"", ""Iron"", ""Fosphenytoin"", ""Phenobarbitone""], ""brand"": ["" Altimic, Actovis Plus, Mycovit-OD"", "" Ansurose, Farus, Feryz"", "" Milorgen, Fosphen, Fosentin"", "" Shinosun""], ""effect"": [""LIFE-THREATENING"", ""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Chloramphenicol (5% w/v),,packet of 5 ml Ear Drop
47817,Paraxin Ear Drop,Chloramphenicol (NA),₹8.26,Abbott,"Paraxin Ear Drop is an antibiotic that fights bacteria. It is instilled in the ear to treat infections of the ear caused by bacteria. It works by killing the bacteria that cause these problems.Paraxin Ear Drop helps to improve your symptoms and cure the underlying infection. Follow your doctor’s instructions precisely for administering this medicine in the ear. Wait for at least 5 minutes before applying any other medication to the same ear. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.It is active against many types of bacteria. However, it will not work for other types of ear infections (e.g. viral) and therefore, should only be used if prescribed by your doctor. Unnecessary use of this antibiotic can lead to unpleasant side effects and a decrease in its effectiveness in the future.The most common side effect seen after administration is temporary ear discomfort. Inform your doctor if this persists or if your condition worsens. Pregnant and breastfeeding mothers should consult their doctor before using it. This medicine should not be used for longer than one week.",Ear discomfort,"{""drug"": [""Methylcobalamin"", ""Iron"", ""Fosphenytoin"", ""Phenobarbitone""], ""brand"": ["" Altimic, Actovis Plus, Mycovit-OD"", "" Ansurose, Farus, Feryz"", "" Milorgen, Fosphen, Fosentin"", "" Shinosun""], ""effect"": [""LIFE-THREATENING"", ""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS""]}",True,allopathy,Chloramphenicol (NA),,packet of 5 ml Ear Drop
47818,Chloro Ear Drop,Chloramphenicol (5% w/v),₹26.2,Pfizer Ltd,"Chloro Ear Drop is an antibiotic that fights bacteria. It is instilled in the ear to treat infections of the ear caused by bacteria. It works by killing the bacteria that cause these problems.Chloro Ear Drop helps to improve your symptoms and cure the underlying infection. Follow your doctor’s instructions precisely for administering this medicine in the ear. Wait for at least 5 minutes before applying any other medication to the same ear. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.It is active against many types of bacteria. However, it will not work for other types of ear infections (e.g. viral) and therefore, should only be used if prescribed by your doctor. Unnecessary use of this antibiotic can lead to unpleasant side effects and a decrease in its effectiveness in the future.The most common side effect seen after administration is temporary ear discomfort. Inform your doctor if this persists or if your condition worsens. Pregnant and breastfeeding mothers should consult their doctor before using it. This medicine should not be used for longer than one week.",Ear discomfort,"{""drug"": [""Methylcobalamin"", ""Iron"", ""Fosphenytoin"", ""Phenobarbitone""], ""brand"": ["" Altimic, Actovis Plus, Mycovit-OD"", "" Ansurose, Farus, Feryz"", "" Milorgen, Fosphen, Fosentin"", "" Shinosun""], ""effect"": [""LIFE-THREATENING"", ""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Chloramphenicol (5% w/v),,packet of 5 ml Ear Drop
47819,CED Ear Drop,Chloramphenicol (5% w/v),₹9.35,Ciron Drugs & Pharmaceuticals Pvt Ltd,"CED Ear Drop is an antibiotic that fights bacteria. It is instilled in the ear to treat infections of the ear caused by bacteria. It works by killing the bacteria that cause these problems.CED Ear Drop helps to improve your symptoms and cure the underlying infection. Follow your doctor’s instructions precisely for administering this medicine in the ear. Wait for at least 5 minutes before applying any other medication to the same ear. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.It is active against many types of bacteria. However, it will not work for other types of ear infections (e.g. viral) and therefore, should only be used if prescribed by your doctor. Unnecessary use of this antibiotic can lead to unpleasant side effects and a decrease in its effectiveness in the future.The most common side effect seen after administration is temporary ear discomfort. Inform your doctor if this persists or if your condition worsens. Pregnant and breastfeeding mothers should consult their doctor before using it. This medicine should not be used for longer than one week.",Ear discomfort,"{""drug"": [""Methylcobalamin"", ""Iron"", ""Fosphenytoin"", ""Phenobarbitone""], ""brand"": ["" Altimic, Actovis Plus, Mycovit-OD"", "" Ansurose, Farus, Feryz"", "" Milorgen, Fosphen, Fosentin"", "" Shinosun""], ""effect"": [""LIFE-THREATENING"", ""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Chloramphenicol (5% w/v),,packet of 5 ml Ear Drop
47820,Denicol 0.5% Ear Drop,Chloramphenicol (0.5% w/v),₹19.12,Dr. D Pharma,"Denicol 0.5% Ear Drop is an antibiotic that fights bacteria. It is instilled in the ear to treat infections of the ear caused by bacteria. It works by killing the bacteria that cause these problems.Denicol 0.5% Ear Drop helps to improve your symptoms and cure the underlying infection. Follow your doctor’s instructions precisely for administering this medicine in the ear. Wait for at least 5 minutes before applying any other medication to the same ear. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.It is active against many types of bacteria. However, it will not work for other types of ear infections (e.g. viral) and therefore, should only be used if prescribed by your doctor. Unnecessary use of this antibiotic can lead to unpleasant side effects and a decrease in its effectiveness in the future.The most common side effect seen after administration is temporary ear discomfort. Inform your doctor if this persists or if your condition worsens. Pregnant and breastfeeding mothers should consult their doctor before using it. This medicine should not be used for longer than one week.",Ear discomfort,"{""drug"": [""Methylcobalamin"", ""Iron"", ""Fosphenytoin"", ""Phenobarbitone""], ""brand"": ["" Altimic, Actovis Plus, Mycovit-OD"", "" Ansurose, Farus, Feryz"", "" Milorgen, Fosphen, Fosentin"", "" Shinosun""], ""effect"": [""LIFE-THREATENING"", ""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Chloramphenicol (0.5% w/v),,bottle of 5 ml Ear Drop
47821,Simercetin Ear Drop,Chloramphenicol (5% w/v),₹11.56,Biomedica International,"Simercetin Ear Drop is an antibiotic that fights bacteria. It is instilled in the ear to treat infections of the ear caused by bacteria. It works by killing the bacteria that cause these problems.Simercetin Ear Drop helps to improve your symptoms and cure the underlying infection. Follow your doctor’s instructions precisely for administering this medicine in the ear. Wait for at least 5 minutes before applying any other medication to the same ear. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.It is active against many types of bacteria. However, it will not work for other types of ear infections (e.g. viral) and therefore, should only be used if prescribed by your doctor. Unnecessary use of this antibiotic can lead to unpleasant side effects and a decrease in its effectiveness in the future.The most common side effect seen after administration is temporary ear discomfort. Inform your doctor if this persists or if your condition worsens. Pregnant and breastfeeding mothers should consult their doctor before using it. This medicine should not be used for longer than one week.",Ear discomfort,"{""drug"": [""Methylcobalamin"", ""Iron"", ""Fosphenytoin"", ""Phenobarbitone""], ""brand"": ["" Altimic, Actovis Plus, Mycovit-OD"", "" Ansurose, Farus, Feryz"", "" Milorgen, Fosphen, Fosentin"", "" Shinosun""], ""effect"": [""LIFE-THREATENING"", ""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Chloramphenicol (5% w/v),,bottle of 5 ml Ear Drop
61496,Septran C Tablet,Co-trimoxazole (NA),₹2.12,Glaxo SmithKline Pharmaceuticals Ltd,"Septran C Tablet is an antibiotic medicine used to treat bacterial infections in your body. It is effective in infections of the lungs (eg. pneumonia, bronchitis), ear, urinary tract, and intestines. It is also used to treat some parasitic infections.Septran C Tablet works by stopping the growth of bacteria. It may be taken with food. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back.The most common side effects of this medicine include nausea, vomiting, skin rash, and allergic reaction. Taking this medicine along with some food may help to prevent indigestion and upset stomach. Seek emergency medical help if you get a rash, itchy skin, swelling of face and mouth, or have difficulty breathing.Before using it, you should tell your doctor if you are allergic to any antibiotics (especially sulpha medicines) or have any kidney or liver problems. You should also let your doctor know all other medicines you are taking as they may affect, or be affected by this medicine. Pregnant and breastfeeding mothers should not take this medicine. Your doctor may get regular blood and urine tests while undergoing treatment with this medicine.","Nausea,Vomiting,Skin rash,Allergic reaction","{""drug"": [""Pyrimethamine"", ""Acenocoumarol"", ""Azathioprine"", ""Dapsone""], ""brand"": ["" Daramin"", "" Altrom, Cenorol, Cgtrom"", "" Thioprinz, Lazorin, Azarid"", "" Dapsone""], ""effect"": [""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Co-trimoxazole (NA),,strip of 10 tablets
61497,Terramycin SF Capsule,Oxytetracycline (250mg) + Vitamin B6 (Pyridoxine) (0.5mg) + Vitamin B3(Nicotinic Acid) (25mg) + Vitamin B2 (2.5mg) + Calcium (5mg) + Folic Acid (0.375mg) + Methylcobalamin (3mcg) + Thiamine(Vitamin B1) (2.5mg),₹9.89,Pfizer Ltd,"Terramycin SF Capsule is a combination medicine that is used to treat various types of bacterial infections. It prevents the growth of the microorganisms that cause the infection.Terramycin SF Capsule is a prescription medicine and it is advised to take it as per the doctor's advice. It can be taken with or without food, but it must be taken at a fixed time to ensure better efficacy. Do not consume more than the recommended dose, as this may have harmful effects on your body. If you miss a dose, take it as soon as you remember. The course of the treatment must be completed even if you feel better. Sudden discontinuation of the treatment may affect the potency of the medicine.Some common side effects of this medicine are nausea, vomiting, diarrhea, indigestion, etc. If any of the side effects get aggravated, you must consult your doctor immediately. If you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.), you must seek immediate medical help.Before taking this medicine, you should tell your doctor if you are taking any medicines for any health condition. Pregnant or breastfeeding women should also consult with their doctor before taking it. Avoid drinking alcohol as it can cause excessive drowsiness with this medicine. It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy. You must take adequate rest for a faster recovery, also take a healthy diet and drink plenty of water.","Diarrhea,Nausea,Vomiting,Stomach pain,Photosensitivity","{""drug"": [], ""brand"": [], ""effect"": []}",False,allopathy,Oxytetracycline (250mg) , Vitamin B6 (Pyridoxine) (0.5mg) ,strip of 10 capsules
61498,Monopas Tablet,Sodium aminosalicylate (1000mg),,Macleods Pharmaceuticals Pvt Ltd,"Monopas Tablet is an antibiotic medicine used to treat bacterial infections in your body. It is used to treat tuberculosis that is resistant to other medicines. It is generally used in combination with other medicines, as part of a regimen.Monopas Tablet works by stopping the growth of the infection causing bacteria. It may be taken with or without food, preferably at a fixed time each day. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back.The most common side effects of this medicine include allergic reactions, skin rash, vomiting, and nausea. Seek emergency medical help if you get a rash, itchy skin, swelling of face and mouth, or have difficulty breathing.Before using it, you should tell your doctor if you are allergic to any antibiotics (especially sulpha medicines) or have any kidney or liver problems. Pregnant and breastfeeding mothers should not take this medicine. Your doctor may get regular blood and urine tests while undergoing treatment with this medicine.","Allergic reaction,Skin rash,Vomiting,Nausea","{""drug"": [""Acenocoumarol"", ""Azathioprine"", ""Fosphenytoin"", ""Mercaptopurine""], ""brand"": ["" Altrom, Cenorol, Cgtrom"", "" Thioprinz, Lazorin, Azarid"", "" Milorgen, Fosphen, Fosentin"", "" Empurine""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Sodium aminosalicylate (1000mg),,strip of 6 tablets
61499,Sulphadiazine 500mg Tablet,Sulfadiazine (500mg),₹10.97,Abbott,"Sulphadiazine 500mg Tablet is an antibiotic medicine used to treat bacterial infections in your body. It is effective in infections of the lungs (eg. pneumonia, bronchitis), ear, urinary tract, and intestines. It is also used to treat some parasitic infections.Sulphadiazine 500mg Tablet works by stopping the growth of bacteria. It may be taken with or without food. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back.The most common side effects of this medicine include nausea, vomiting, diarrhea, and allergic reaction. Seek emergency medical help if you get a rash, itchy skin, swelling of face and mouth, or have difficulty breathing.Before using it, you should tell your doctor if you are allergic to any antibiotics (especially sulpha medicines) or have any kidney or liver problems. You should also let your doctor know all other medicines you are taking as they may affect, or be affected by this medicine. Pregnant and breastfeeding mothers should consult their doctor before taking this medicine. Your doctor may monitor you with regular blood and urine tests during treatment.","Nausea,Vomiting,Diarrhea,Allergic reaction","{""drug"": [""Acenocoumarol"", ""Azathioprine"", ""Fosphenytoin"", ""Mercaptopurine""], ""brand"": ["" Altrom, Cenorol, Cgtrom"", "" Thioprinz, Lazorin, Azarid"", "" Milorgen, Fosphen, Fosentin"", "" Empurine""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}",True,allopathy,Sulfadiazine (500mg),,strip of 10 tablets
61500,Q-Pas Granules,Sodium aminosalicylate (800mg),,Lupin Ltd,"Q-Pas Granules is an antibiotic medicine used to treat bacterial infections in your body. It is used to treat tuberculosis that is resistant to other medicines. It is generally used in combination with other medicines, as part of a regimen.Q-Pas Granules works by stopping the growth of the infection causing bacteria. It may be taken with or without food, preferably at a fixed time each day. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back.The most common side effects of this medicine include allergic reactions, skin rash, vomiting, and nausea. Seek emergency medical help if you get a rash, itchy skin, swelling of face and mouth, or have difficulty breathing.Before using it, you should tell your doctor if you are allergic to any antibiotics (especially sulpha medicines) or have any kidney or liver problems. Pregnant and breastfeeding mothers should not take this medicine. Your doctor may get regular blood and urine tests while undergoing treatment with this medicine.","Allergic reaction,Skin rash,Vomiting,Nausea","{""drug"": [""Acenocoumarol"", ""Azathioprine"", ""Fosphenytoin"", ""Mercaptopurine""], ""brand"": ["" Altrom, Cenorol, Cgtrom"", "" Thioprinz, Lazorin, Azarid"", "" Milorgen, Fosphen, Fosentin"", "" Empurine""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}",False,allopathy,Sodium aminosalicylate (800mg),,bottle of 100 gm Granules
